title,url,funding_amount,deadline,program_type,eligibility,source_type,language
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0r8z000000EJUmAAO,75%,Continuous,Grant,"Multifamily, commercial, institutional, industrial, and manufacturing buildings and facilities, manufacturers qualified through RFQL 5217",HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rcr00000NEwgbAAD,Financial incentives for the installation of new grid-connected distributed residential and nonresidential energy storage systems. Incentives are structured as fixed-rate incentives per kWh of system energy capacity. Incentives available for up to 25 kWh of storage capacity for residential projects and up to 5 MW for retail projects.,"Continuous application submission. Funding for Retail Energy Storage incentives available May 20, 2025. Funding for Residential Energy Storage incentives available June 10, 2025.",Grant,"Participating contractors, New York State residents installing grid-connected energy storage on a new or existing home, projects up to 5 MW for retail projects, commercially-available chemical, thermal, and mechanical technologies eligible.",HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0r8z000000CVOdAAO,"$3,000",Continuous,Grant,Public and private (for-profit and not-for-profit) entities may participate in the Program. Applicants can be the Equipment Owners or the Installers on behalf of the Equipment Owners.,HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
NYSERDA_Solicitation_User_Guide,https://portal.nyserda.ny.gov/resource/1619795565000/NYSERDA_Solicitation_User_Guide,Specific funding amounts are not mentioned in the text.,All Concept Papers or Proposals must be received by 3:00 p.m. ET on the date noted in the solicitation.,Grant,Anyone can apply as long as they follow the submission guidelines and have a NYSERDA Portal account.,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rcr00000JyIQYAA3,$5.5,Due Date: 07/24/2025 (Round 1),Grant,Contractors producing content intended to be published to the World Wide Web,HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
NYSERDA_Solicitation_User_Guide,https://portal.nyserda.ny.gov/resource/1619795565000/NYSERDA_Solicitation_User_Guide,Specific funding amounts are not mentioned in the text.,All Concept Papers or Proposals must be received by 3:00 p.m. ET on the date noted in the solicitation.,Grant,Anyone can apply as long as they follow the submission guidelines and have a NYSERDA Portal account.,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0r8z000000DMhmAAG,$20,Continuous,Grant,Financial companies actively working (or developing plans) to deploy capital into decarbonization projects in New York State,HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
NYSERDA_Solicitation_User_Guide,https://portal.nyserda.ny.gov/resource/1619795565000/NYSERDA_Solicitation_User_Guide,Grants offered by NYSERDA,Concept Papers or Proposals must be received by 3:00 p.m. ET on the date noted in the solicitation,Grant,Open to proposers who follow the submission guidelines and have a NYSERDA Portal account,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rt0000000QnlnAAC,"grants, direct technical support",Continuous,Grant,Local governments,HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rt000000kXV1yAAG,The FlexTech Program provides cost-share for technical assistance services such as energy audits.,Continuous application submission.,Grant,"New York State commercial, industrial, institutional, and multifamily customers who pay into the Systems Benefit Charge.",HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
NYSERDA_Solicitation_User_Guide,https://portal.nyserda.ny.gov/resource/1619795565000/NYSERDA_Solicitation_User_Guide,Specific funding amounts are not mentioned in the text.,All Concept Papers or Proposals must be received by 3:00 p.m. ET on the date noted in the solicitation.,Grant,Anyone can apply as long as they follow the submission guidelines and have a NYSERDA Portal account.,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rcr000009h2RMAAY,"$1,250,000","Proposals accepted through 3:00 p.m. ET on August 6, 2025",Grant,"Innovative heat pump manufacturers capable of developing, demonstrating, and scaling production of Packaged Terminal Heat Pumps (PTHPs)",HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rt0000018tQ1hAAE,100%,Continuous,Grant,"Applicant must be County, City, Town, or Village that is home to a grid-connected fossil-fuel power plant that has been decommissioned after August 3, 2016, is currently being decommissioned, has confirmed its plans to retire and deactivate, or is currently operating.",HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0r8z000000IPaZAAW,"Financial incentives for zero emissions home design, passive house-focused training, new construction of single-family homes and townhomes, and support for marketing and promotion.",Continuous,Grant,"Builders and developers looking to construct and market zero emissions single-family homes and townhomes, with enhanced support for geothermal systems.",HTML,en
